start_ticks,channel,end_beats,end_s,end_ticks,key_signature,length_beats,length_s,length_ticks,note,start_beats,start_s,time_signature,track,velocity
7936,1,31.4921875,13.692236265625,8062,D,31.4921875,0.21399426562500068,126,30,31.0,13.478242,4 4,Piano,38
8064,0,31.74609375,13.8026301328125,8127,D,31.74609375,0.10699713281249856,63,59,31.5,13.695633,4 4,Piano,39
8192,0,32.24609375,14.0200211328125,8255,D,32.24609375,0.10699713281250034,63,57,32.0,13.913024,4 4,Piano,38
8192,1,32.4921875,14.127018265625,8318,D,32.4921875,0.21399426562500068,126,26,32.0,13.913024,4 4,Piano,33
8320,0,32.74609375,14.2374121328125,8383,D,32.74609375,0.10699713281250034,63,54,32.5,14.130415,4 4,Piano,33
8448,0,33.24609375,14.4548031328125,8511,D,33.24609375,0.10699713281250034,63,50,33.0,14.347806,4 4,Piano,33
8448,1,33.4921875,14.561800265625,8574,D,33.4921875,0.2139942656249989,126,33,33.0,14.347806,4 4,Piano,39
8576,0,33.74609375,14.6721941328125,8639,D,33.74609375,0.10699713281250034,63,54,33.5,14.565197,4 4,Piano,38
8704,0,35.8046875,15.567233640625,9166,D,35.8046875,0.7846456406249995,462,57,34.0,14.782588,4 4,Piano,52
8704,1,34.4921875,14.996582265625,8830,D,34.4921875,0.2139942656249989,126,26,34.0,14.782588,4 4,Piano,30
8960,1,35.4921875,15.431364265625,9086,D,35.4921875,0.2139942656249989,126,33,35.0,15.21737,4 4,Piano,39
9216,0,36.24609375,15.7591491328125,9279,D,36.24609375,0.10699713281249856,63,42,36.0,15.652152000000001,4 4,Piano,27
9216,1,36.4921875,15.866146265625,9342,D,36.4921875,0.2139942656249989,126,30,36.0,15.652152000000001,4 4,Piano,36
9344,0,36.74609375,15.9765401328125,9407,D,36.74609375,0.10699713281250034,63,44,36.5,15.869543,4 4,Piano,36
9472,0,37.24609375,16.1939311328125,9535,D,37.24609375,0.10699713281250212,63,46,37.0,16.086934,4 4,Piano,39
9472,1,37.4921875,16.300928265625,9598,D,37.4921875,0.21399426562500068,126,37,37.0,16.086934,4 4,Piano,40
9600,0,37.74609375,16.4113221328125,9663,D,37.74609375,0.10699713281250212,63,47,37.5,16.304325,4 4,Piano,35
9728,0,38.24609375,16.6287131328125,9791,D,38.24609375,0.10699713281249856,63,49,38.0,16.521716,4 4,Piano,54
9728,1,38.4921875,16.735710265625,9854,D,38.4921875,0.21399426562499713,126,30,38.0,16.521716,4 4,Piano,31
9856,0,38.74609375,16.8461041328125,9919,D,38.74609375,0.10699713281249856,63,46,38.5,16.739107,4 4,Piano,34
9984,0,39.4921875,17.170492265625,10110,D,39.4921875,0.21399426562500068,126,49,39.0,16.956498,4 4,Piano,35
9984,1,39.4921875,17.170492265625,10110,D,39.4921875,0.21399426562500068,126,37,39.0,16.956498,4 4,Piano,41
10240,0,40.24609375,17.4982771328125,10303,D,40.24609375,0.10699713281249856,63,50,40.0,17.391280000000002,4 4,Piano,55
10240,1,40.4921875,17.605274265625,10366,D,40.4921875,0.21399426562499713,126,26,40.0,17.391280000000002,4 4,Piano,28
10368,0,40.74609375,17.7156681328125,10431,D,40.74609375,0.10699713281249856,63,46,40.5,17.608671,4 4,Piano,31
10496,0,41.4921875,18.040056265625,10622,D,41.4921875,0.21399426562500068,126,50,41.0,17.826062,4 4,Piano,38
10496,1,41.4921875,18.040056265625,10622,D,41.4921875,0.21399426562500068,126,33,41.0,17.826062,4 4,Piano,38
10752,0,42.24609375,18.3678411328125,10815,D,42.24609375,0.10699713281250212,63,49,42.0,18.260844,4 4,Piano,51
10752,1,42.4921875,18.474838265625,10878,D,42.4921875,0.21399426562500068,126,30,42.0,18.260844,4 4,Piano,34
10880,0,42.74609375,18.5852321328125,10943,D,42.74609375,0.10699713281249856,63,46,42.5,18.478235,4 4,Piano,32
11008,0,43.4921875,18.909620265625,11134,D,43.4921875,0.21399426562500068,126,49,43.0,18.695626,4 4,Piano,36
11008,1,43.4921875,18.909620265625,11134,D,43.4921875,0.21399426562500068,126,37,43.0,18.695626,4 4,Piano,40
11264,0,44.24609375,19.2374051328125,11327,D,44.24609375,0.10699713281250212,63,42,44.0,19.130408,4 4,Piano,30
11264,1,44.4921875,19.344402265625,11390,D,44.4921875,0.21399426562500068,126,30,44.0,19.130408,4 4,Piano,31
11392,0,44.74609375,19.4547961328125,11455,D,44.74609375,0.10699713281250212,63,44,44.5,19.347799,4 4,Piano,35
11520,0,45.24609375,19.6721871328125,11583,D,45.24609375,0.10699713281249856,63,46,45.0,19.56519,4 4,Piano,39
11520,1,45.4921875,19.779184265625,11646,D,45.4921875,0.21399426562499713,126,37,45.0,19.56519,4 4,Piano,40
11648,0,45.74609375,19.8895781328125,11711,D,45.74609375,0.10699713281249856,63,47,45.5,19.782581,4 4,Piano,37
11776,0,46.24609375,20.1069691328125,11839,D,46.24609375,0.10699713281250212,63,49,46.0,19.999972,4 4,Piano,55
11776,1,46.4921875,20.213966265625,11902,D,46.4921875,0.21399426562500068,126,30,46.0,19.999972,4 4,Piano,28
